Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,87.150002,87.389999,86.570000,87.209999,75.965347,7063700
2019-06-04,87.199997,87.250000,86.080002,86.930000,75.721466,7322300
2019-06-05,87.379997,88.750000,87.129997,88.750000,77.306786,11722500
2019-06-06,88.849998,89.000000,88.190002,88.879997,77.420036,6501900
2019-06-07,89.379997,89.639999,89.010002,89.150002,77.655220,4795700
2019-06-10,89.120003,89.410004,88.510002,88.879997,77.420036,4710400
2019-06-11,89.050003,89.320000,88.419998,89.029999,77.550690,4045800
2019-06-12,89.070000,89.629997,89.000000,89.320000,77.803307,5117200
2019-06-13,89.500000,89.650002,89.160004,89.650002,78.090767,4883900
2019-06-14,89.639999,90.180000,89.480003,89.800003,78.221405,4808300
2019-06-17,89.309998,90.110001,89.190002,90.070000,79.059677,8171300
2019-06-18,90.430000,90.870003,89.480003,89.910004,78.919250,8297400
2019-06-19,89.769997,90.650002,89.339996,90.470001,79.410774,5955500
2019-06-20,90.889999,91.110001,90.650002,90.870003,79.761902,6541800
2019-06-21,90.480003,90.550003,89.379997,89.720001,78.752449,11471300
2019-06-24,90.160004,90.169998,89.099998,89.160004,78.260918,7237200
2019-06-25,89.330002,89.570000,88.010002,88.019997,77.260262,7967000
2019-06-26,88.019997,88.180000,86.180000,86.360001,75.803185,11381000
2019-06-27,86.870003,87.470001,86.809998,87.360001,76.680954,7115400
2019-06-28,87.500000,88.220001,87.309998,87.309998,76.637054,10525800
2019-07-01,88.250000,88.250000,86.680000,87.610001,76.900375,11876800
2019-07-02,87.910004,89.059998,87.760002,88.980003,78.102913,9713700
2019-07-03,89.199997,90.239998,89.190002,90.160004,79.138664,6897400
2019-07-05,89.300003,90.129997,88.510002,89.750000,78.778809,7822200
2019-07-08,89.739998,90.339996,89.639999,90.040001,79.033348,5098200
2019-07-09,90.029999,90.639999,89.800003,90.480003,79.419556,4096600
2019-07-10,90.919998,91.220001,90.440002,90.959999,79.840881,6911700
2019-07-11,90.849998,90.980003,89.589996,89.940002,78.945572,7720500
2019-07-12,90.019997,90.129997,89.459999,89.779999,78.805122,3445300
2019-07-15,89.959999,90.349998,89.639999,89.779999,78.805122,4142800
2019-07-16,89.510002,89.900002,89.250000,89.570000,78.620781,5347800
2019-07-17,89.750000,90.019997,88.750000,89.209999,78.304802,5343700
2019-07-18,89.059998,89.500000,88.570000,89.230003,78.322350,4721400
2019-07-19,89.389999,89.510002,87.760002,87.919998,77.172485,7972100
2019-07-22,88.080002,88.139999,87.489998,87.760002,77.032051,5280000
2019-07-23,88.029999,88.750000,87.769997,88.650002,77.813255,5390400
2019-07-24,88.879997,89.050003,88.470001,88.900002,78.032692,3278500
2019-07-25,88.769997,88.930000,88.070000,88.489998,77.672821,5028700
2019-07-26,88.519997,88.959999,88.160004,88.790001,77.936157,3679000
2019-07-29,88.989998,89.639999,88.889999,89.050003,78.164368,5715300
2019-07-30,88.959999,90.019997,88.889999,89.690002,78.726120,6447700
2019-07-31,89.779999,90.389999,88.830002,89.389999,78.462807,8864800
2019-08-01,89.599998,90.139999,88.800003,89.300003,78.383812,12385000
2019-08-02,89.379997,90.230003,89.129997,89.699997,78.734901,6350300
2019-08-05,89.430000,89.449997,86.930000,88.089996,77.321716,7142800
2019-08-06,88.160004,89.459999,88.029999,89.019997,78.138023,7494200
2019-08-07,89.470001,90.470001,87.849998,89.949997,78.954330,9553400
2019-08-08,90.430000,91.480003,89.430000,91.459999,80.279747,5487800
2019-08-09,91.180000,91.699997,90.510002,91.449997,80.270981,7709500
2019-08-12,91.330002,91.500000,90.639999,91.099998,79.963760,6719600
2019-08-13,91.220001,91.540001,90.500000,91.199997,80.051529,6177700
2019-08-14,90.870003,90.949997,89.540001,89.720001,78.752449,6409100
2019-08-15,89.970001,90.830002,89.809998,90.709999,79.621437,6122800
2019-08-16,90.919998,91.720001,90.750000,91.500000,80.314865,6465000
2019-08-19,91.860001,92.410004,91.519997,92.190002,80.920547,5782500
2019-08-20,92.419998,92.660004,91.470001,91.500000,80.314865,5588100
2019-08-21,91.830002,92.089996,91.449997,91.839996,80.613304,2803900
2019-08-22,91.860001,92.400002,91.370003,92.349998,81.060944,4349200
2019-08-23,92.230003,92.879997,90.750000,91.080002,79.946220,7401200
2019-08-26,91.550003,91.839996,91.129997,91.750000,80.534294,4485100
2019-08-27,92.220001,92.519997,91.360001,91.400002,80.227089,3808700
2019-08-28,91.330002,91.769997,91.150002,91.610001,80.411423,4426800
2019-08-29,92.019997,92.410004,91.809998,92.339996,81.052193,3587800
2019-08-30,92.529999,92.680000,91.989998,92.459999,81.157509,5529200
2019-09-03,92.230003,93.360001,92.110001,93.360001,81.947502,8582000
2019-09-04,93.599998,94.199997,93.580002,94.089996,82.588280,7135800
2019-09-05,94.000000,94.080002,93.169998,93.500000,82.070381,10590800
2019-09-06,93.639999,93.949997,93.379997,93.680000,82.228386,5278400
